32281,"07, 26, 28, 39"
5114,"01, 02, 07, 09, 17, 20, 33"
28977,"01, 04, 13, 23, 27, 29, 33"
9253,"29, 40"
9969,"01, 04, 13, 23, 27, 29, 33"
32935,"04, 07, 28, 33, 37"
11061,"01, 02, 33, 38"
820,"07, 20, 29, 36"
15335,"01, 04, 13, 23, 27, 29, 33"
15417,"01, 04, 13, 23, 27, 29, 33"
4181,"07, 09, 26, 35, 39"
28851,"07, 28, 33"
918,"01, 04, 13, 23, 27, 29, 33"
2904,"01, 07, 19, 20, 29, 38"
28891,"04, 07, 28, 33, 37"
199,"02, 07, 39"
23273,"07, 21, 26, 28, 33"
24701,"02, 09, 13, 22, 30, 35, 39"
12355,"09, 35"
1575,"01, 19, 20, 28, 29, 38"
263,"04, 07, 33, 37"
44,"01, 07, 13, 18, 26, 27"
1,"01, 02, 04, 07, 29, 36"
30276,"01, 04, 23, 29, 30, 38, 39"
164,"01, 02, 9"
7311,"04, 22, 26, 28, 29, 39"
17074,"04, 22, 26, 39, 41"
21939,"02, 09, 13, 22, 30, 35, 39"
457,"02, 09, 13, 22, 30, 35, 39"
2001,"01, 02, 04, 19, 29"
245,"04, 07, 28, 33, 35"
32983,"07, 09, 31, 35, 39"
5258,"04, 07, 33, 37"
28957,"02, 09, 13, 22, 30, 35, 39"
11665,"07, 09, 31, 35, 39"
431,"02, 07, 09, 26"
11741,"01, 09, 39, 40"
31757,"01, 22, 39, 41"
19,"07, 14, 22, 24, 25, 30, 40"
12365,"04, 07, 26, 33"
1535,"22, 24, 25, 39, 40"
32366,"04, 23"
30654,"01, 04, 28, 33"
20583,"04, 07, 28, 33, 37"
19647,"04, 07, 33, 37"
4282,"01, 07, 22, 26, 39, 40"
10379,"07, 09, 31, 35, 39"
22135,"25, 30, 37"
21329,"02, 09, 13, 22, 30, 35, 39"
31043,"22, 25, 30, 39"
7785,"22, 25, 26"
3297,"09, 29, 33, 35"
30709,"04, 06, 09, 31, 39"
6114,"07, 13, 30, 40"
31240,"07, 09, 25, 40"
4565,"01, 19, 29, 36, 38"
5300,"07, 09, 31, 35, 39"
9989,"07, 35, 39"
24415,"04, 28, 33, 37"
11577,"29, 40"
10408,"07, 26, 31, 39"
28171,"08, 28, 33"
32995,"04, 37"
21899,"01, 04, 13, 23, 27, 29, 33"
26055,"01, 02, 07, 33, 39"
7472,"01, 04, 13, 23, 27, 29, 33"
777,"01, 14, 20, 30, 39, 41"
22535,"01, 07, 14, 25, 29, 30"
28735,"07, 13, 15"
12431,"04, 29, 30, 35, 36"
28805,"02, 39"
578,"07, 13"
16894,"04, 28, 33, 37"
5028,"04, 07, 26, 37"
21,"01, 02, 04, 07, 09, 33, 38"
801,"01, 19, 20, 22, 24, 29, 30"
31933,"01, 02, 04, 07, 33, 39"
5205,"01, 22, 26, 39, 40"
17389,"01, 13, 20, 30"
170,"04, 07, 28, 33, 37"
10162,"15, 35"
18617,"20, 28"
32182,"01, 04, 35, 39"
877,"04, 07, 21, 26, 31, 35"
2251,"01, 04, 13, 22, 30, 39"
24687,"02, 09, 13, 22, 30, 35, 39"
16498,"01, 07, 09, 33, 38"
10030,"04, 07, 26, 33"
5941,"04, 07, 26, 28, 37"
30346,"26, 28, 34, 35"
3784,"01, 19, 29"
13125,"07, 14, 22, 29, 39"
12029,"01, 07, 20, 29, 36"
14397,"07, 10, 15, 35, 37"
10087,"01, 09, 39"
14719,"01, 02, 33, 39, 41"
9756,"07, 17, 25, 40"
10165,"04, 28, 35"
13601,"01, 24, 25, 29"
22789,"04, 35"
30230,"04, 28, 33, 37"
18115,"01, 02, 09, 17, 33"
11981,"07, 17, 25, 40"
11917,"04, 07, 37"
205,"01, 02, 04, 13, 27, 33"
32282,"08, 28, 33"
6594,"01, 02, 13, 18, 26"
11979,"07, 17, 25, 40"
7655,"04, 07, 37"
2246,"06, 09, 13, 14, 22, 30, 39"
25835,"04, 7"
2921,"07, 37"
136,"01, 02, 33, 38"
30503,"01, 02, 33, 39"
12531,"07, 15, 21, 26, 28"
523,"02, 04, 39"
467,"01, 19, 20, 24, 29, 30"
572,"02, 9"
19815,"02, 04, 08, 09, 10, 39"
2559,"02, 07, 13, 35"
392,"01, 04, 06, 09, 18, 28, 33"
486,"01, 02, 35"
11771,"04, 28, 33, 37"
1698,"04, 07, 15, 21, 26, 35"
5341,"02, 09, 13, 26"
25781,"01, 09, 31, 39"
10863,"29, 40"
28701,"01, 09, 17, 33, 39"
5420,"07, 9"
9260,"22, 39, 41"
32,"05, 07, 19, 25, 29"
4224,"04, 26, 28, 35"
2236,"02, 07, 26, 29"
2685,"01, 02, 07, 09, 26, 33"
31181,"04, 22, 39"
45,"01, 02, 04, 13, 26, 27"
2418,"01, 02, 13, 27"
1365,"02, 22, 24, 33"
22297,"01, 09, 17, 33, 39"
627,"04, 07, 33, 37"
10937,"01, 19, 20, 29, 33, 36"
23755,"01, 02, 08, 09, 33, 39"
4081,"07, 09, 31, 35, 39"
4155,"01, 02, 04, 07, 09, 33"
1889,"22, 25, 39, 40"
137,"01, 02, 33, 38"
139,"01, 02, 33, 38"
23317,"04, 06, 09, 13, 22, 33, 39"
558,"04, 07, 33, 37"
5040,"25, 30, 37"
57,"04, 07, 21, 33, 35"
33,"01, 02, 06, 07, 09, 14, 20, 26, 30, 39"
5,"01, 07, 22, 29, 36"
1842,"07, 33, 37"
6336,"01, 07, 19, 20, 29, 36"
20651,"07, 09, 31, 35, 39"
1210,"04, 07, 25, 26"
338,"02, 07, 13, 26, 31"
13759,"04, 07, 26, 28, 35"
6547,"01, 04, 07, 28, 39"
5081,"22, 26, 39, 41"
32867,"22, 30, 39"
264,"04, 33, 37"
12859,"01, 02, 04, 07, 09, 33"
853,"04, 11, 26, 28, 31"
5460,"01, 22, 24, 33"
6746,"01, 22, 39"
5690,"04, 15, 21, 26"
329,"07, 26, 29, 30, 36"
34240,"21, 29"
513,"02, 09, 26, 29"
6945,"01, 04, 13, 23, 29"
1142,"07, 15, 26"
6811,"01, 02, 04, 06, 09, 17, 26, 33, 39"
16664,"09, 13"
1604,"01, 04, 33, 38"
22145,"04, 06, 09, 13, 33, 39"
2966,"02, 09, 13, 26"
31964,"01, 04, 28, 33, 38"
19363,"04, 28, 33, 35"
18195,"04, 07, 26, 28, 35, 39"
9890,"04, 07, 37"
9130,"01, 02, 18, 33, 38, 39"
9863,"04, 28, 33"
7674,"04, 26, 33"
11843,"04, 28, 33, 35"
16782,"07, 25, 26, 35"
28675,"09, 35, 39"
3226,"04, 07, 33, 37"
21557,"07, 22, 25"
31715,"04, 26, 35"
43,"01, 19, 24, 25, 29, 30"
9617,"04, 21, 35"
31051,"01, 28, 33, 37"
10153,"01, 04, 07, 17, 38"
1033,"01, 02, 07, 09, 13, 26"
32188,"29, 40"
3091,"04, 07, 22, 25, 39"
12115,"01, 02, 06, 07, 09, 14, 20, 30, 39"
28223,"07, 10, 22, 25, 40"
121,"01, 02, 04, 07, 09, 17, 20, 33"
3002,"10, 25, 30, 40"
138,"01, 02, 33, 38"
6675,"01, 03, 29, 37"
10800,"07, 10, 15, 35, 37"
32005,"01, 22, 24, 33"
813,"01, 02, 04, 09, 18, 33, 38"
27821,"01, 09, 17, 33, 39"
28725,"07, 26, 28"
585,"02, 07, 09, 26, 35"
16067,"07, 09, 26"
30,"01, 05, 07, 19, 25, 29"
31490,"01, 02, 04, 07, 09, 33"
759,"04, 7"
6,"01, 04, 29"
6864,"22, 39"
9735,"01, 04, 13, 23, 27, 29, 33"
11977,"07, 17, 25, 40"
11123,"04, 07, 26, 34"
23847,"04, 07, 26, 28"
33161,"04, 26, 28"
962,"09, 29, 33, 35"
1519,"01, 30"
2167,"04, 07, 26, 28, 35, 39"
16706,"04, 11, 26, 33, 39"
5681,"04, 29"
3901,"01, 04, 13, 22, 30, 39"
6467,"01, 22, 24, 33"
10271,"10, 25, 30, 40"
22507,"03, 30, 37"
3701,"02, 22, 26, 29"
19123,"01, 02, 04, 07, 09, 33, 38"
33255,"04, 28, 33, 39"
372,"04, 07, 09, 17, 26, 31"
265,"04, 33, 37"
25681,"04, 06, 09, 26, 31, 39"
4722,"04, 07, 26, 31"
24277,"04, 07, 33, 37"
239,"07, 22, 29, 39, 40"
512,"02, 04, 07, 09, 17, 26"
4477,"04, 15, 21, 26, 35"
15323,"01, 02, 04, 07, 09, 33, 38"
31174,"04, 23"
